Region,Suburb,Population,Area,PopulationDensity
Whittlesea - Wallan,South Morang (North),13231,13.7,965.1
Tullamarine - Broadmeadows,Gladstone Park - Westmeadows,18655,13.9,1338.6
Casey - North,Endeavour Hills - North,12514,14.5,864.5
Whittlesea - Wallan,Doreen,25171,14.5,1740.5
Frankston,Frankston South,19216,14.6,1319.8
Whittlesea - Wallan,Thomastown,21592,14.7,1470.3
Nillumbik - Kinglake,Hurstbridge,3625,14.8,244.2
Casey - North,Berwick - South,28497,14.9,1918.3
Knox,Knoxfield - Scoresby,16763,15.3,1098.1
Whittlesea - Wallan,Epping - South,8778,15.9,553.1
Bendigo,Bendigo,14735,16,922.4
Manningham - West,Templestowe,17730,16.1,1100
Hobsons Bay,Altona North,15195,16.2,938.9
Yarra Ranges,Mount Evelyn,10209,17,600.9
Bendigo,East Bendigo - Kennington,13784,17.1,803.8
Keilor,Keilor,9066,17.5,517.7
Hobsons Bay,Altona,13711,17.7,775.3
Tullamarine - Broadmeadows,Campbellfield - Coolaroo,17218,18.2,946.7
Knox,Lysterfield,7013,18.5,379.2
Brimbank,Taylors Lakes,18400,18.5,996.6
Wyndham,Point Cook - East,16025,19,841.8
Nillumbik - Kinglake,Eltham,24205,19.5,1242
Casey - North,Berwick - North,24037,19.7,1217.2
Frankston,Skye - Sandhurst,14084,19.8,710.8
Frankston,Carrum Downs,22082,20.3,1087.4
Manningham - East,Donvale - Park Orchards,16875,20.8,811.2
Mornington Peninsula,Mornington,25913,21.1,1228.5
Brimbank,Deer Park - Derrimut,28708,21.3,1345.6
Geelong,North Geelong - Bell Park,15402,21.9,702.3
Wyndham,Laverton,10949,22.2,492.2
Yarra Ranges,Chirnside Park,10987,22.2,494.9
Mornington Peninsula,Mount Eliza,19022,23.2,819.6
Whittlesea - Wallan,Mernda,21488,23.8,902
Mornington Peninsula,Rosebud - McCrae,22087,23.8,928.2
Melton - Bacchus Marsh,Melton West,19964,24.2,824.9
Mildura,Mildura - North,18658,25.1,742.9
Nillumbik - Kinglake,Wattle Glen - Diamond Creek,14561,26.8,542.8
Wyndham,Truganina,30249,27.2,1113.5
Geelong,Leopold,13753,27.9,492.4
Nillumbik - Kinglake,Plenty - Yarrambat,9930,29.1,341
Mornington Peninsula,Mount Martha,19773,30.2,654.5
Dandenong,Keysborough,29852,30.3,985.9
Geelong,Geelong West - Hamlyn Heights,20570,32,642.1
Ballarat,Ballarat - South,25389,32.9,772.8
Bendigo,California Gully - Eaglehawk,12676,33,383.7
Ballarat,Delacombe,7874,34.2,230.5
Casey - North,Narre Warren North,8549,34.4,248.5
Cardinia,Pakenham - North,21641,37.2,581.4
Frankston,Langwarrin,25156,37.6,668.7
Shepparton,Mooroopna,8087,40,202.3
Geelong,Highton,23449,40.6,577.7
Bendigo,Kangaroo Flat - Golden Square,20329,40.9,496.9
Cardinia,Beaconsfield - Officer,17577,41.2,426.9
Casey - South,Cranbourne East,41381,42.9,964.8
Bendigo,Maiden Gully,5382,43,125.2
Geelong,Newcomb - Moolap,14949,43.3,345.3
Mornington Peninsula,Dromana,12325,45.1,273.5
Maryborough - Pyrenees,Maryborough (Vic.),8074,45.5,177.3
Wellington,Sale,15021,45.6,329.4
Manningham - East,Warrandyte - Wonga Park,10657,45.8,232.9
Nillumbik - Kinglake,Research - North Warrandyte,7055,49.8,141.7
Cardinia,Pakenham - South,32087,49.8,644.9
Mildura,Mildura - South,15120,51,296.5
Ballarat,Buninyong,7583,51.6,147
Ballarat,Alfredton,13291,52.7,252.1
Whittlesea - Wallan,Wollert,13723,53.9,254.6
Colac - Corangamite,Colac,12547,54.7,229.2
Yarra Ranges,Belgrave - Selby,10452,55.7,187.8
Geelong,Grovedale,27559,55.7,494.7
Wangaratta - Benalla,Wangaratta,19318,57.6,335.5
Surf Coast - Bellarine Peninsula,Point Lonsdale - Queenscliff,4400,61.7,71.3
Dandenong,Dandenong,33923,61.8,548.7
Wyndham,Tarneit,43403,62.1,698.4
Warrnambool,Warrnambool - North,21975,62.4,352.1
Glenelg - Southern Grampians,Portland,10900,64,170.4
Surf Coast - Bellarine Peninsula,Clifton Springs,14637,65.1,224.7
Shepparton,Shepparton - North,19381,65.7,295.2
Melton - Bacchus Marsh,Hillside,24151,66.5,362.9
Mornington Peninsula,Point Nepean,18433,67.2,274.4
Ballarat,Wendouree - Miners Rest,15012,67.6,222.2
Bendigo,White Hills - Ascot,13130,67.8,193.7
Yarra Ranges,Monbulk - Silvan,5859,68.6,85.5
Tullamarine - Broadmeadows,Mickleham - Yuroke,7361,70.6,104.2
Surf Coast - Bellarine Peninsula,Portarlington,7915,71.9,110.2
Macedon Ranges,Macedon,3606,73,49.4
Upper Goulburn Valley,Seymour,6423,79.3,81
Geelong,Corio - Norlane,27440,80.8,339.5
Casey - South,Cranbourne South,10256,81.7,125.6
Yarra Ranges,Mount Dandenong - Olinda,10137,81.9,123.8
Grampians,Horsham,16514,83.1,198.8
Macedon Ranges,Riddells Creek,4281,83.4,51.4
Heathcote - Castlemaine - Kyneton,Castlemaine,11047,83.9,131.6
Latrobe Valley,Morwell,14026,85.5,164.1
Mildura,Irymple,7090,88.3,80.3
Ballarat,Ballarat - North,24147,92.4,261.5
Moira,Yarrawonga,8291,95,87.3
Tullamarine - Broadmeadows,Greenvale - Bulla,19380,95.9,202.1
Colac - Corangamite,Camperdown,3537,98.1,36
Casey - South,Pearcedale - Tooradin,8156,98.5,82.8
Gippsland - South West,Phillip Island,11416,100.6,113.5
Mildura,Merbein,4885,101.8,48
Ballarat,Smythes Creek,4021,104.7,38.4
Latrobe Valley,Moe - Newborough,16812,105.3,159.7
Mornington Peninsula,Hastings - Somers,23345,108.9,214.4
Yarra Ranges,Lilydale - Coldstream,19781,109.4,180.8
